Servername,host availability %,Status 
slc12829,0.000747,Server on retired state on CMDB
slc13866,0.004480287,Server on retired state on CMDB
sgagc9004.srv.allianz,0.017174432,"Planned outage ,migration of server to aws CHG0610890"
slc13958,0.017921147,Server on retired state on CMDB
slc13946,0.019414576,Server on retired state on CMDB
slc13962,0.022401434,"Server on shutdown state till 28th July, planned outage"
sgagc9004.srv.allianz,0.023148148,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.025388292,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.031362007,"Planned outage ,migration of server to aws CHG0610890"
slb16516.srv.allianz,0.033602151,Server decommissioned on 29th July 
slb16450.srv.allianz,0.035468937,Server decommissioned on 1st  July 
slb16523.srv.allianz,0.03770908,Server decommissioned on 31st  July 
sgagc9004.srv.allianz,0.038082437,"Planned outage ,migration of server to aws CHG0610890"
slb16524.srv.allianz,0.039949223,Server decommissioned on 31st  July 
slb16512.srv.allianz,0.046669654,Server decommissioned on 29th July 
sgagc9004.srv.allianz,0.05114994,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.052270012,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004,0.052643369,"Planned outage ,migration of server to aws CHG0610890"
slb11181.srv.allianz,0.053016726,Not able to find server on CMDB 
sgagc9004.sRV.allianz,0.053763441,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.062724014,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.080271804,"Planned outage ,migration of server to aws CHG0610890"
sla71356.srv.allianz,0.082885305,Server Provisioned on 17th july 
sgagc9004.srv.allianz,0.085872162,"Planned outage ,migration of server to aws CHG0610890"
slb16445.srv.allianz,0.086992234,Server decommissioned on 1st  July 
slc13851,0.087365591,Server on retired state on CMDB
slc13878,0.089605735,Server on retired state on CMDB
slb16446.srv.allianz,0.092592593,Server decommissioned on 1st  July 
sgagc9004.srv.allianz,0.093339307,"Planned outage ,migration of server to aws CHG0610890"
slc13925,0.094086022,Server on retired state on CMDB
slc13884,0.094832736,Server on retired state on CMDB
sgagc9004.srv.allianz,0.094832736,"Planned outage ,migration of server to aws CHG0610890"
slc13843,0.095952808,Server on retired state on CMDB
slb16447.srv.allianz,0.096326165,Server decommissioned on 1st  July 
slc13860,0.097072879,Server on retired state on CMDB
slc13834,0.098566308,Server on retired state on CMDB
sgagc9004.srv.allianz,0.098566308,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004,0.09968638,"Planned outage ,migration of server to aws CHG0610890"
sgagc9004.srv.allianz,0.100059737,"Planned outage ,migration of server to aws CHG0610890"
slc13893,0.100806452,Server on retired state on CMDB
slc13849,0.100806452,Server on retired state on CMDB
slb16448.srv.allianz,0.100806452,Server decommissioned on 1st  July 
slc13951,0.101553166,Server on retired state on CMDB
slc13964,0.101926523,Server on retired state on CMDB
slc13945,0.106033453,Server on retired state on CMDB
sla71587.srv.allianz,0.106780167,Under scope of AGL Team
slc13864,0.107526882,Server on retired state on CMDB
slc13914,0.109393668,Server on retired state on CMDB
slb16508.srv.allianz,0.122461171,Server decommissioned on 25st  July 
slc02437,0.157930108,Server not showing on CMDB 
slb27688.srv.allianz,0.165770609,Server not showing on CMDB 
sgagc9004.srv.allianz,0.187051971,"Planned outage ,migration of server to aws CHG0610890"
slc13961,0.209453405,Server on stopped state till 28th July 
sgagc9004.srv.allianz,0.21281362,"Planned outage ,migration of server to aws CHG0610890"
slb27697.srv.allianz,0.239695341,Server decommissioned on 3rd   July 
sgagc9004.srv.allianz,0.253136201,"Planned outage ,migration of server to aws CHG0610890"
slc12855,0.303539427,Planned outage 
slb16476.srv.allianz,0.304286141,Server decommissioned on 11th    July 
slc13844,0.320340502,Server on retired state on CMDB
slc13952,0.324820789,Server on retired state on CMDB
slc13879,0.324820789,Server on retired state on CMDB
slc13850,0.326687575,Server on retired state on CMDB
slc13861,0.329301075,Server on retired state on CMDB
slc13852,0.329301075,Server on retired state on CMDB
slc13934,0.330421147,Server on retired state on CMDB
slc13908,0.333781362,Server on retired state on CMDB
slc13885,0.336021505,Server on retired state on CMDB
slc13915,0.338261649,Server on retired state on CMDB
slc13926,0.344608722,Server on retired state on CMDB
slc13894,0.346848865,Server on retired state on CMDB
slb27717.srv.allianz,0.346848865,Server decommissioned on 11th    July 
sgagc9004.agcsropus-vpc-fbrb4-dxootrhunho.ase1.aws.aztec.cloud.allianz,0.347222222,"Planned outage ,migration of server to aws CHG0610890"
slc13965,0.347968937,Server on retired state on CMDB
slc13865,0.349462366,Server on retired state on CMDB
slb11219.srv.allianz,0.362903226,"Server not showing on cmdb ,Decommissioned "
slb27761.srv.allianz,0.394265233,Server on retired state on CMDB
slb27775.srv.allianz,0.39874552,Server on retired state on CMDB
slb27731.srv.allianz,0.39874552,Server on retired state on CMDB
slb27725.srv.allianz,0.400238949,Server on retired state on CMDB
slb27720.srv.allianz,0.400238949,Server on retired state on CMDB
slb27741.srv.allianz,0.403972521,Server on retired state on CMDB
slb27747.srv.allianz,0.408452808,Server on retired state on CMDB
slb27719.srv.allianz,0.409946237,Server on retired state on CMDB
slb27768.srv.allianz,0.410692951,Server on retired state on CMDB
slb27738.srv.allianz,0.410692951,Server on retired state on CMDB
slb27737.srv.allianz,0.431974313,Server on retired state on CMDB
slb27760.srv.allianz,0.433467742,Server on retired state on CMDB
slb27724.srv.allianz,0.440188172,Server on retired state on CMDB
slb27756.srv.allianz,0.445415173,Server on retired state on CMDB
slb27730.srv.allianz,0.445415173,Server on retired state on CMDB
slb27766.srv.allianz,0.44578853,Server on retired state on CMDB
slb27751.srv.allianz,0.454749104,Server on retired state on CMDB
slb27759.srv.allianz,0.460349462,Server on retired state on CMDB
slb27727.srv.allianz,0.464829749,Server on retired state on CMDB
slb27745.srv.allianz,0.465203106,Server on retired state on CMDB
slb27740.srv.allianz,0.47416368,Server on retired state on CMDB
slb27682.srv.allianz,0.474910394,Server on retired state on CMDB
slb27734.srv.allianz,0.475657109,Server on retired state on CMDB
slb27764.srv.allianz,0.47677718,Server on retired state on CMDB
slb27754.srv.allianz,0.496565114,Server on retired state on CMDB
slb27722.srv.allianz,0.499178614,Server on retired state on CMDB
slb27769.srv.allianz,0.501418757,Server on retired state on CMDB
slb27681.srv.allianz,0.505899044,Server on retired state on CMDB
slb27773.srv.allianz,0.509259259,Server on retired state on CMDB
slb27781.srv.allianz,0.509632616,Server on retired state on CMDB
slb27733.srv.allianz,0.509632616,Server on retired state on CMDB
slb27763.srv.allianz,0.513739546,Server on retired state on CMDB
slb27744.srv.allianz,0.51448626,Server on retired state on CMDB
slb27758.srv.allianz,0.515232975,Server on retired state on CMDB
slb27726.srv.allianz,0.515232975,Server on retired state on CMDB
slb27739.srv.allianz,0.518219833,Server on retired state on CMDB
slb27762.srv.allianz,0.527180406,Server on retired state on CMDB
slb27750.srv.allianz,0.595878136,Server on retired state on CMDB
sgagc9004.srv.allianz,0.630600358,"Planned outage ,migration of server to aws CHG0610890"
slb27785.srv.allianz,0.663082437,Server on retired state on CMDB
